actor1,actor2,weight
3087,8351,38.235
3087,8354,38.235
3293,5538,116.09
3293,18182,116.09
3293,35029,116.09
3293,101065,116.09
3293,113970,116.09
3293,1074617,116.09
3293,1309110,116.09
3293,1373737,116.09
3293,1743933,116.09
3293,2072566,116.09
3293,2131391,116.09
3293,2408958,116.09
3293,2410230,116.09
3293,2475107,116.09
5538,18182,116.09
5538,35029,116.09
5538,101065,116.09
5538,113970,116.09
5538,1074617,116.09
5538,1309110,116.09
5538,1373737,116.09
5538,1743933,116.09
5538,2072566,116.09
5538,2131391,116.09
5538,2408958,116.09
5538,2410230,116.09
5538,2475107,116.09
5723,35029,1119.075
5723,55086,1119.075
5723,178634,1119.075
5723,205213,1119.075
5723,2273501,1119.075
5723,3607144,1119.075
6751,9640,67.775
6751,36221,67.775
6751,37821,67.775
6751,37822,67.775
6751,196855,67.775
6751,204997,67.775
6751,946856,67.775
6751,951881,67.775
6751,1019727,67.775
6751,1215432,67.775
6751,1808925,67.775
6751,2020776,67.775
6751,2140105,67.775
6751,2392748,67.775
6751,2939086,67.775
6751,3052237,67.775
6751,3817610,67.775
6751,3817629,67.775
6751,3817635,67.775
6751,3817637,67.775
6751,3817649,67.775
6751,3817652,67.775
6751,3817687,67.775
6751,3817690,67.775
8349,8351,38.235
8349,8354,38.235
8351,8354,38.235
9640,36221,67.775
9640,37821,67.775
9640,37822,67.775
9640,196855,67.775
9640,204997,67.775
9640,946856,67.775
9640,951881,67.775
9640,1019727,67.775
9640,1215432,67.775
9640,1808925,67.775
9640,2020776,67.775
9640,2140105,67.775
9640,2392748,67.775
9640,2939086,67.775
9640,3052237,67.775
9640,3817610,67.775
9640,3817629,67.775
9640,3817635,67.775
9640,3817637,67.775
9640,3817649,67.775
9640,3817652,67.775
9640,3817687,67.775
9640,3817690,67.775
18182,35029,116.09
18182,101065,116.09
18182,113970,116.09
18182,1074617,116.09
18182,1309110,116.09
18182,1373737,116.09
18182,1743933,116.09
18182,2072566,116.09
18182,2131391,116.09
18182,2408958,116.09
18182,2410230,116.09
18182,2475107,116.09
35029,55086,1119.075
35029,101065,116.09
35029,113970,116.09
35029,178634,1119.075
35029,205213,1119.075
35029,1074617,116.09
35029,1309110,116.09
35029,1373737,116.09
35029,1743933,116.09
35029,2072566,116.09
35029,2131391,116.09
35029,2273501,1119.075
35029,2408958,116.09
35029,2410230,116.09
35029,2475107,116.09
35029,3607144,1119.075
36221,37821,67.775
36221,37822,67.775
36221,196855,67.775
36221,204997,67.775
36221,946856,67.775
36221,951881,67.775
36221,1019727,67.775
36221,1215432,67.775
36221,1808925,67.775
36221,2020776,67.775
36221,2140105,67.775
36221,2392748,67.775
36221,2939086,67.775
36221,3052237,67.775
36221,3817610,67.775
36221,3817629,67.775
36221,3817635,67.775
36221,3817637,67.775
36221,3817649,67.775
36221,3817652,67.775
36221,3817687,67.775
36221,3817690,67.775
37821,37822,67.775
37821,196855,67.775
37821,204997,67.775
37821,946856,67.775
37821,951881,67.775
37821,1019727,67.775
37821,1215432,67.775
